Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,HostCountry
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,59054900.0,Unknown
1934,Italy,Italy,Czech Republic,Germany,Austria,70,16,17,36300000.0,Unknown
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,37570000.0,Unknown
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,104524600.0,Unknown
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,140,16,26,76860700.0,Unknown
1958,Sweden,Brazil,Sweden,France,West Germany,126,16,35,81981000.0,Unknown
1962,Chile,Brazil,Czech Republic,Chile,Yugoslavia,89,16,32,89317200.0,Unknown
1966,England,England,West Germany,Portugal,Soviet Union,89,16,32,156313500.0,Unknown
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,160397500.0,Unknown
1974,Germany,West Germany,Netherlands,Poland,Brazil,97,16,38,186575300.0,Unknown
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,154579100.0,Argentina
1982,Spain,Italy,West Germany,Poland,France,146,24,52,210972300.0,Spain
1986,Mexico,Argentina,West Germany,France,Belgium,132,24,52,239403100.0,Mexico
1990,Italy,West Germany,Argentina,Italy,England,115,24,52,251621500.0,Italy
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,358753800.0,USA
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,278510000.0,France
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,270519700.0,South Korea/Japan
2006,Germany,Italy,France,Germany,Portugal,147,32,64,335943900.0,Germany
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,317885600.0,South Africa
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,338681000.0,Brazil
